V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
-32118, 16884, 15234, -32191, 16896, 15294, -60.086914 
-32487, 7987, 24500, -32550, 7974, 24576, -76.296875 
-21306, -11817, 33121, -21328, -11868, 33196, -75.910156 
-15895, -9376, 25269, -15911, -9415, 25327, -58.324219 
-40581, 7973, 32606, -40655, 7954, 32700, -94.558594 
-13644, -13723, 27366, -13652, -13768, 27421, -55.363281 
-22628, -5836, 28462, -22658, -5869, 28527, -65.359375 
-12410, 2792, 9617, -12431, 2789, 9641, -24.193359 
-11777, -19353, 31129, -11779, -19406, 31186, -57.150391 
-27554, 10961, 16593, -27604, 10965, 16639, -46.076172 
-21451, 1896, 19554, -21482, 1885, 19597, -43.072266 
-27250, -232, 27480, -27289, -250, 27539, -59.261719 
-23092, -8823, 31913, -23119, -8851, 31971, -58.171875 
-19038, -12981, 32016, -19056, -13015, 32072, -56.019531 
-11623, -11788, 23409, -11632, -11816, 23449, -40.113281 
-34640, 5540, 29098, -34687, 5536, 29151, -53.378906 
-23545, 2161, 21382, -23576, 2155, 21420, -38.363281 
-24174, 13119, 11054, -24207, 13132, 11075, -21.650391 
-27163, 3924, 23238, -27197, 3921, 23276, -38.046875 
-34853, -1755, 36607, -34894, -1768, 36662, -55.898438 
-26539, 14407, 12131, -26572, 14419, 12153, -22.259766 
-25738, -10611, 36348, -25763, -10633, 36396, -48.746094 
-4599, -3074, 7672, -4602, -3078, 7681, -9.166016 
-3240, -10187, 13424, -3239, -10199, 13439, -15.540039 
-24909, -6363, 31270, -24932, -6376, 31308, -38.429688 
-9608, -906, 10512, -9615, -907, 10523, -11.581055 
-25517, 14187, 11329, -25542, 14198, 11343, -14.424805 
-19791, 9353, 10437, -19807, 9360, 10447, -10.288086 
-32362, 6803, 25557, -32387, 6807, 25580, -23.236328 
-21948, 4346, 17601, -21965, 4348, 17616, -15.968750 
-20735, -13121, 33855, -20746, -13131, 33878, -23.109375 
-8741, 1739, 7000, -8746, 1740, 7005, -5.662109 
-12241, -16084, 28323, -12246, -16092, 28338, -15.775391 
-19593, 9365, 10227, -19603, 9370, 10233, -6.448242 
-26094, -12744, 38837, -26103, -12747, 38851, -14.093750 
-3267, -2198, 5464, -3267, -2198, 5466, -2.176270 
-26411, -538, 26947, -26420, -536, 26957, -10.138672 
-17668, 2319, 15347, -17671, 2320, 15350, -3.784180 
-9183, 3947, 5234, -9184, 3948, 5235, -1.925781 
-7221, -13645, 20864, -7221, -13645, 20866, -2.544922 
-4676, -20722, 25397, -4675, -20724, 25399, -2.464844 
-5221, -21675, 26895, -5220, -21677, 26897, -2.964844 
-18283, 692, 17590, -18282, 693, 17589, 0.839844 
-28246, -5525, 33771, -28244, -5524, 33768, 2.285156 
-19743, 386, 19356, -19738, 386, 19352, 3.710938 
-22887, -9359, 32244, -22882, -9355, 32237, 6.183594 
-8620, 3087, 5532, -8617, 3086, 5531, 0.823242 
-15526, -4197, 19722, -15519, -4195, 19714, 7.074219 
-11325, -14636, 25958, -11319, -14629, 25949, 8.933594 
-19950, -15081, 35030, -19937, -15073, 35011, 18.667969 
-27284, 11131, 16153, -27269, 11123, 16145, 7.084961 
-4490, -3161, 7649, -4486, -3158, 7645, 3.867188 
-14763, -18544, 33306, -14751, -18532, 33283, 22.351562 
-1989, -5655, 7642, -1986, -5650, 7637, 4.799805 
-15818, 2370, 13447, -15804, 2366, 13437, 9.324219 
-10060, -14460, 24518, -10049, -14449, 24498, 19.289062 
-30902, 11696, 19205, -30876, 11683, 19192, 12.320312 
-25371, -5302, 30672, -25343, -5301, 30644, 27.255859 
-9283, -19643, 28924, -9269, -19626, 28896, 27.439453 
-10689, -10756, 21444, -10673, -10746, 21419, 24.060547 
-7796, -13832, 21626, -7782, -13819, 21601, 24.138672 
-4114, -14123, 18235, -4104, -14109, 18214, 20.853516 
-14309, 4136, 10172, -14289, 4127, 10162, 9.686523 
-11766, -10996, 22760, -11746, -10986, 22732, 27.513672 
-5094, -22015, 27108, -5077, -21989, 27066, 41.048828 
1137, -16528, 15390, 1142, -16507, 15365, 24.727539 
-2897, -11488, 14383, -2886, -11474, 14361, 21.559570 
794, -6237, 5442, 795, -6228, 5432, 9.510742 
2561, -16974, 14411, 2565, -16950, 14385, 25.498047 
-18527, -12112, 30638, -18484, -12105, 30589, 48.320312 
-14355, -20772, 35125, -14315, -20750, 35065, 59.398438 
-23721, -14355, 38075, -23661, -14347, 38009, 65.492188 
-4550, -3471, 8019, -4537, -3468, 8005, 13.560059 
-11595, -20824, 32418, -11557, -20799, 32356, 61.283203 
-22032, 2800, 19231, -21983, 2779, 19203, 27.210938 
5610, -21990, 16378, 5614, -21951, 16337, 40.418945 
-5260, -24942, 30200, -5225, -24906, 30131, 68.703125 
-21135, -4271, 25406, -21079, -4282, 25361, 44.277344 
537, -6288, 5750, 541, -6277, 5735, 14.548828 
66, -18318, 18250, 83, -18287, 18203, 46.921875 
-3530, -26349, 29876, -3494, -26307, 29801, 74.529297 
1554, -27392, 25837, 1579, -27343, 25763, 73.298828 
-5098, -8113, 13210, -5074, -8104, 13179, 30.955078 
-4256, -5660, 9915, -4237, -5655, 9892, 22.302734 
-12954, -569, 13522, -12915, -582, 13497, 24.086914 
-10189, -7898, 18085, -10149, -7895, 18045, 39.998047 
