I_d, I_q, I_d_f, I_q_f, errId, errIq 
-526, -1102, -531.754028, -1101.717896, 5.754028, -0.282104 
-523, -1097, -529.145996, -1096.314331, 6.145996, -0.685669 
-547, -1078, -553.255493, -1077.607056, 6.255493, -0.392944 
-545, -1071, -550.210632, -1071.676392, 5.210632, 0.676392 
-569, -1053, -573.576050, -1052.526733, 4.576050, -0.473267 
-565, -1047, -570.385986, -1046.672852, 5.385986, -0.327148 
-562, -1041, -567.195923, -1040.818970, 5.195923, -0.181030 
-577, -1021, -581.666748, -1020.177917, 4.666748, -0.822083 
-561, -1014, -565.000122, -1014.404419, 4.000122, 0.404419 
-567, -994, -572.003052, -994.262695, 5.003052, 0.262695 
-550, -989, -555.199219, -988.901550, 5.199219, -0.098450 
-533, -983, -537.381470, -982.987915, 4.381470, -0.012085 
-539, -963, -543.783203, -963.383789, 4.783203, 0.383789 
-522, -958, -525.825134, -957.910889, 3.825134, -0.089111 
-527, -939, -531.843506, -939.587036, 4.843506, 0.587036 
-509, -934, -513.380981, -934.007080, 4.380981, 0.007080 
-491, -927, -495.583313, -928.377930, 4.583313, 1.377930 
-497, -910, -500.374481, -910.697449, 3.374481, 0.697449 
-478, -905, -481.780090, -905.574097, 3.780090, 0.574097 
-482, -887, -485.891693, -888.683716, 3.891693, 1.683716 
-463, -882, -467.436584, -883.406006, 4.436584, 1.406006 
-445, -878, -448.721619, -878.742310, 3.721619, 0.742310 
-449, -862, -451.655975, -862.598816, 2.655975, 0.598816 
-430, -857, -433.076477, -857.777527, 3.076477, 0.777527 
-433, -842, -435.385437, -842.485229, 2.385437, 0.485229 
-414, -837, -416.692749, -838.123047, 2.692749, 1.123047 
-394, -833, -396.915833, -833.363770, 2.915833, 0.363770 
-395, -818, -398.532928, -819.431396, 3.532928, 1.431396 
-377, -814, -379.298523, -815.030273, 2.298523, 1.030273 
-378, -801, -379.926758, -801.511963, 1.926758, 0.511963 
-358, -797, -360.589783, -797.586060, 2.589783, 0.586060 
-339, -793, -341.903076, -793.513550, 2.903076, 0.513550 
-339, -781, -341.921692, -781.400635, 2.921692, 0.400635 
-319, -777, -322.029724, -777.473755, 3.029724, 0.473755 
-319, -765, -321.579742, -766.335144, 2.579742, 1.335144 
-299, -762, -301.597046, -762.899536, 2.597046, 0.899536 
-281, -758, -282.256714, -759.285339, 1.256714, 1.285339 
-279, -747, -280.816681, -749.158447, 1.816681, 2.158447 
-259, -745, -261.393188, -746.021912, 2.393188, 1.021912 
-258, -735, -259.068207, -736.465210, 1.068207, 1.465210 
-238, -733, -239.573288, -733.808105, 1.573288, 0.808105 
-237, -723, -237.516083, -725.076416, 0.516083, 2.076416 
-217, -722, -217.334259, -723.125977, 0.334259, 1.125977 
-197, -719, -197.270874, -720.519409, 0.270874, 1.519409 
-194, -711, -194.841354, -713.328979, 0.841354, 2.328979 
-174, -710, -174.719833, -711.217468, 0.719833, 1.217468 
-171, -703, -172.022064, -705.081787, 1.022064, 2.081787 
-150, -701, -151.325119, -703.061768, 1.325119, 2.061768 
-131, -699, -131.773224, -701.190613, 0.773224, 2.190613 
-127, -694, -128.268280, -696.221619, 1.268280, 2.221619 
-107, -693, -107.527832, -694.712097, 0.527832, 1.712097 
-105, -689, -104.990715, -690.946228, -0.009285, 1.946228 
-83, -689, -84.219391, -689.948120, 1.219391, 0.948120 
-63, -687, -64.050201, -688.663940, 1.050201, 1.663940 
-61, -683, -60.245163, -685.725098, -0.754837, 2.725098 
-41, -683, -40.050465, -684.938232, -0.949535, 1.938232 
-37, -682, -36.705650, -683.454529, -0.294350, 1.454529 
-17, -681, -15.930899, -682.814453, -1.069101, 1.814453 
5, -681, 4.277041, -682.525330, 0.722959, 1.525330 
8, -681, 8.244544, -682.295532, -0.244544, 1.295532 
29, -681, 29.028769, -682.167480, -0.028769, 1.167480 
32, -681, 32.422962, -682.715698, -0.422962, 1.715698 
53, -681, 53.204025, -683.099792, -0.204025, 2.099792 
73, -681, 73.413971, -683.139893, -0.413971, 2.139893 
77, -683, 76.763664, -685.279297, 0.236336, 2.279297 
97, -683, 96.966515, -685.817383, 0.033485, 2.817383 
101, -687, 100.822525, -688.740356, 0.177475, 1.740356 
121, -687, 121.005997, -689.776001, -0.005997, 2.776001 
141, -689, 141.788025, -690.518188, -0.788025, 1.518188 
144, -694, 144.884155, -695.334412, -0.884155, 1.334412 
165, -694, 165.097473, -696.203125, -0.097473, 2.203125 
168, -701, 168.614807, -701.824402, -0.614807, 0.824402 
188, -702, 188.800598, -703.190857, -0.800598, 1.190857 
190, -707, 191.564560, -709.492371, -1.564560, 2.492371 
210, -710, 211.710541, -711.355835, -1.710541, 1.355835 
230, -711, 231.856537, -713.219177, -1.856537, 2.219177 
233, -719, 234.308319, -721.074219, -1.308319, 2.074219 
253, -722, 254.402252, -723.433472, -1.402252, 1.433472 
256, -730, 256.657623, -731.680664, -0.657623, 1.680664 
276, -733, 276.687408, -734.534302, -0.687408, 1.534302 
296, -735, 296.843658, -736.733276, -0.843658, 1.733276 
297, -745, 298.062927, -746.720154, -1.062927, 1.720154 
317, -747, 318.158875, -749.415039, -1.158875, 2.415039 
318, -759, 318.982269, -760.401733, -0.982269, 1.401733 
337, -762, 338.524353, -763.129822, -1.524353, 1.129822 
357, -765, 358.547821, -766.319031, -1.547821, 1.319031 
358, -777, 359.027588, -778.128845, -1.027588, 1.128845 
378, -781, 378.966492, -781.810425, -0.966492, 0.810425 
377, -794, 378.324921, -794.751953, -1.324921, 0.751953 
397, -797, 397.708862, -798.439392, -0.708862, 1.439392 
416, -801, 417.092773, -802.126831, -1.092773, 1.126831 
414, -815, 416.045013, -815.827820, -2.045013, 0.827820 
434, -819, 435.984253, -819.853027, -1.984253, 0.853027 
433, -834, 434.397919, -834.477234, -1.397919, 0.477234 
452, -838, 453.142914, -838.608765, -1.142914, 0.608765 
470, -842, 471.887909, -842.740234, -1.887909, 0.740234 
468, -858, 469.619110, -858.702759, -1.619110, 0.702759 
486, -862, 488.256592, -863.294861, -2.256592, 1.294861 
484, -879, 485.609955, -879.495056, -1.609955, 0.495056 
502, -883, 504.128632, -884.544861, -2.128632, 1.544861 
521, -889, 522.239136, -889.067810, -1.239136, 0.067810 
517, -906, 518.832581, -906.558228, -1.832581, 0.558228 
536, -911, 536.826111, -911.525818, -0.826111, 0.525818 
532, -929, 532.735229, -929.827393, -0.735229, 0.827393 
549, -934, 550.219055, -934.690369, -1.219055, 0.690369 
544, -954, 544.750427, -953.810730, -0.750427, -0.189270 
561, -959, 562.774536, -959.061951, -1.774536, 0.061951 
578, -965, 580.133301, -964.354248, -2.133301, -0.645752 
573, -983, 574.087341, -984.048096, -1.087341, 1.048096 
590, -990, 591.310425, -989.766479, -1.310425, -0.233521 
584, -1010, 584.148926, -1009.593933, -0.148926, -0.406067 
600, -1015, 600.885437, -1015.161743, -0.885437, 0.161743 
605, -1022, 606.629883, -1021.442261, -1.629883, -0.557739 
584, -1042, 584.541809, -1041.892334, -0.541809, -0.107666 
586, -1047, 587.477539, -1047.125000, -1.477539, 0.125000 
564, -1067, 564.618530, -1067.173706, -0.618530, 0.173706 
566, -1073, 567.736267, -1073.066406, -1.736267, 0.066406 
569, -1078, 570.542236, -1078.369873, -1.542236, 0.369873 
546, -1098, 546.475281, -1097.470215, -0.475281, -0.529785 
549, -1103, 549.149658, -1102.841187, -0.149658, -0.158813 
524, -1122, 524.352966, -1121.471436, -0.352966, -0.528564 
526, -1127, 526.611938, -1126.302734, -0.611938, -0.697266 
529, -1133, 529.153198, -1131.738037, -0.153198, -1.261963 
502, -1150, 503.248474, -1149.316895, -1.248474, -0.683105 
505, -1155, 505.387665, -1154.202515, -0.387665, -0.797485 
478, -1171, 478.563690, -1170.623291, -0.563690, -0.376709 
480, -1177, 480.581879, -1175.559937, -0.581879, -1.440063 
482, -1181, 482.347839, -1179.879639, -0.347839, -1.120361 
454, -1198, 455.028198, -1196.390137, -1.028198, -1.609863 
456, -1202, 456.687134, -1200.751953, -0.687134, -1.248047 
428, -1217, 428.515869, -1216.040527, -0.515869, -0.959473 
429, -1221, 429.845306, -1219.813110, -0.845306, -1.186890 
432, -1226, 431.396301, -1224.214600, 0.603699, -1.785400 
402, -1239, 402.339966, -1238.275635, -0.339966, -0.724365 
404, -1243, 403.576050, -1242.079834, 0.423950, -0.920166 
374, -1257, 373.993988, -1255.479370, 0.006012, -1.520630 
374, -1261, 374.945618, -1258.673950, -0.945618, -2.326050 
376, -1265, 376.087585, -1262.507568, -0.087585, -2.492432 
346, -1277, 345.740936, -1274.607300, 0.259064, -2.392700 
346, -1279, 346.613586, -1277.824463, -0.613586, -1.175537 
316, -1291, 315.819275, -1289.213623, 0.180725, -1.786377 
317, -1294, 316.612427, -1292.451294, 0.387573, -1.548706 
285, -1305, 285.243896, -1302.464600, -0.243896, -2.535400 
286, -1307, 285.956970, -1305.720703, 0.043030, -1.279297 
286, -1310, 286.527466, -1308.325684, -0.527466, -1.674316 
254, -1319, 254.586426, -1316.951416, -0.586426, -2.048584 
256, -1322, 255.092560, -1319.569580, 0.907440, -2.430420 
224, -1330, 222.945602, -1328.083740, 1.054398, -1.916260 
224, -1333, 223.276703, -1330.056152, 0.723297, -2.943848 
224, -1334, 223.607819, -1332.028564, 0.392181, -1.971436 
192, -1342, 191.004684, -1339.113281, 0.995316, -2.886719 
192, -1343, 191.192963, -1340.433228, 0.807037, -2.566772 
158, -1350, 158.343735, -1346.723145, -0.343735, -3.276855 
160, -1351, 158.499420, -1348.047363, 1.500580, -2.952637 
